date,sales
2022-01-01,1200
2022-01-02,980
2022-01-03,1100
2022-01-04,870
2022-01-05,760
2022-01-06,1450
2022-01-07,1600
2022-01-08,1150
2022-01-09,1020
2022-01-10,1080
2022-01-11,930
2022-01-12,850
2022-01-13,1520
2022-01-14,1650
2022-01-15,1180
2022-01-16,1050
2022-01-17,1120
2022-01-18,960
2022-01-19,880
2022-01-20,1580
2022-01-21,1700
2022-01-22,1220
2022-01-23,1090
2022-01-24,1160
2022-01-25,1000
2022-01-26,920
2022-01-27,1620
2022-01-28,1750
2022-01-29,1260
2022-01-30,1130
2022-01-31,1200
2022-02-01,1050
2022-02-02,970
2022-02-03,860
2022-02-04,1480
2022-02-05,1580
2022-02-06,1190
2022-02-07,1060
2022-02-08,1130
2022-02-09,980
2022-02-10,900
2022-02-11,1550
2022-02-12,1680
2022-02-13,1230
2022-02-14,1900
2022-02-15,1150
2022-02-16,1010
2022-02-17,930
2022-02-18,1600
2022-02-19,1730
2022-02-20,1270
2022-02-21,1140
2022-02-22,1210
2022-02-23,1060
2022-02-24,970
2022-02-25,1640
2022-02-26,1780
2022-02-27,1300
2022-02-28,1170
2022-03-01,1240
2022-03-02,1090
2022-03-03,1000
2022-03-04,1660
2022-03-05,1800
2022-03-06,1320
2022-03-07,1190
2022-03-08,1260
2022-03-09,1110
2022-03-10,1020
2022-03-11,1700
2022-03-12,1840
2022-03-13,1360
2022-03-14,1230
2022-03-15,1300
2022-03-16,1150
2022-03-17,1060
2022-03-18,1750
2022-03-19,1890
2022-03-20,1400
2022-03-21,1270
2022-03-22,1340
2022-03-23,1190
2022-03-24,1100
2022-03-25,1800
2022-03-26,1940
2022-03-27,1440
2022-03-28,1310
2022-03-29,1380
2022-03-30,1230
2022-03-31,1140
2022-04-01,1850
2022-04-02,1990
2022-04-03,1480
2022-04-04,1350
2022-04-05,1420
2022-04-06,1270
2022-04-07,1180
2022-04-08,1900
2022-04-09,2040
2022-04-10,1520
2022-04-11,1390
2022-04-12,1460
2022-04-13,1310
2022-04-14,1220
2022-04-15,1950
2022-04-16,2090
2022-04-17,1560
2022-04-18,1430
2022-04-19,1500
2022-04-20,1350
2022-04-21,1260
2022-04-22,2000
2022-04-23,2140
2022-04-24,1600
2022-04-25,1470
2022-04-26,1540
2022-04-27,1390
2022-04-28,1300
2022-04-29,2050
2022-04-30,2190
2022-05-01,1640
2022-05-02,1510
2022-05-03,1580
2022-05-04,1430
2022-05-05,1340
2022-05-06,2100
2022-05-07,2240
2022-05-08,1680
2022-05-09,1550
2022-05-10,1620
2022-05-11,1470
2022-05-12,1380
2022-05-13,2150
2022-05-14,2290
2022-05-15,1720
2022-05-16,1590
2022-05-17,1660
2022-05-18,1510
2022-05-19,1420
2022-05-20,2200
2022-05-21,2340
2022-05-22,1760
2022-05-23,1630
2022-05-24,1700
2022-05-25,1550
2022-05-26,1460
2022-05-27,2250
2022-05-28,2390
2022-05-29,1800
2022-05-30,1670
2022-05-31,1740
2022-06-01,1590
2022-06-02,1500
2022-06-03,2300
2022-06-04,2440
2022-06-05,1840
2022-06-06,1710
2022-06-07,1780
2022-06-08,1630
2022-06-09,1540
2022-06-10,2350
2022-06-11,2490
2022-06-12,1880
2022-06-13,1750
2022-06-14,1820
2022-06-15,1670
2022-06-16,1580
2022-06-17,2400
2022-06-18,2540
2022-06-19,1920
2022-06-20,1790
2022-06-21,1860
2022-06-22,1710
2022-06-23,1620
2022-06-24,2450
2022-06-25,2590
2022-06-26,1960
2022-06-27,1830
2022-06-28,1900
2022-06-29,1750
2022-06-30,1660
2022-07-01,2500
2022-07-02,2640
2022-07-03,2000
2022-07-04,1870
2022-07-05,1940
2022-07-06,1790
2022-07-07,1700
2022-07-08,2550
2022-07-09,2690
2022-07-10,2040
2022-07-11,1910
2022-07-12,1980
2022-07-13,1830
2022-07-14,1740
2022-07-15,2600
2022-07-16,2740
2022-07-17,2080
2022-07-18,1950
2022-07-19,2020
2022-07-20,1870
2022-07-21,1780
2022-07-22,2650
2022-07-23,2790
2022-07-24,2120
2022-07-25,1990
2022-07-26,2060
2022-07-27,1910
2022-07-28,1820
2022-07-29,2700
2022-07-30,2840
2022-07-31,2160
2022-08-01,2030
2022-08-02,2100
2022-08-03,1950
2022-08-04,1860
2022-08-05,2750
2022-08-06,2890
2022-08-07,2200
2022-08-08,2070
2022-08-09,2140
2022-08-10,1990
2022-08-11,1900
2022-08-12,2800
2022-08-13,2940
2022-08-14,2240
2022-08-15,2110
2022-08-16,2180
2022-08-17,2030
2022-08-18,1940
2022-08-19,2850
2022-08-20,2990
2022-08-21,2280
2022-08-22,2150
2022-08-23,2220
2022-08-24,2070
2022-08-25,1980
2022-08-26,2900
2022-08-27,3040
2022-08-28,2320
2022-08-29,2190
2022-08-30,2260
2022-08-31,2110
2022-09-01,2020
2022-09-02,2950
2022-09-03,3090
2022-09-04,2360
2022-09-05,2230
2022-09-06,2300
2022-09-07,2150
2022-09-08,2060
2022-09-09,3000
2022-09-10,3140
2022-09-11,2400
2022-09-12,2270
2022-09-13,2340
2022-09-14,2190
2022-09-15,2100
2022-09-16,3050
2022-09-17,3190
2022-09-18,2440
2022-09-19,2310
2022-09-20,2380
2022-09-21,2230
2022-09-22,2140
2022-09-23,3100
2022-09-24,3240
2022-09-25,2480
2022-09-26,2350
2022-09-27,2420
2022-09-28,2270
2022-09-29,2180
2022-09-30,3150
2022-10-01,3290
2022-10-02,2520
2022-10-03,2390
2022-10-04,2460
2022-10-05,2310
2022-10-06,2220
2022-10-07,3200
2022-10-08,3340
2022-10-09,2560
2022-10-10,2430
2022-10-11,2500
2022-10-12,2350
2022-10-13,2260
2022-10-14,3250
2022-10-15,3390
2022-10-16,2600
2022-10-17,2470
2022-10-18,2540
2022-10-19,2390
2022-10-20,2300
2022-10-21,3300
2022-10-22,3440
2022-10-23,2640
2022-10-24,2510
2022-10-25,2580
2022-10-26,2430
2022-10-27,2340
2022-10-28,3350
2022-10-29,3490
2022-10-30,2680
2022-10-31,2550
2022-11-01,2620
2022-11-02,2470
2022-11-03,2380
2022-11-04,3400
2022-11-05,3540
2022-11-06,2720
2022-11-07,2590
2022-11-08,2660
2022-11-09,2510
2022-11-10,2420
2022-11-11,3450
2022-11-12,3590
2022-11-13,2760
2022-11-14,2630
2022-11-15,2700
2022-11-16,2550
2022-11-17,2460
2022-11-18,3500
2022-11-19,3640
2022-11-20,2800
2022-11-21,2670
2022-11-22,2740
2022-11-23,2590
2022-11-24,2500
2022-11-25,4200
2022-11-26,4500
2022-11-27,2840
2022-11-28,2710
2022-11-29,2780
2022-11-30,2630
2022-12-01,2540
2022-12-02,3600
2022-12-03,3740
2022-12-04,2880
2022-12-05,2750
2022-12-06,2820
2022-12-07,2670
2022-12-08,2580
2022-12-09,3650
2022-12-10,3790
2022-12-11,2920
2022-12-12,2790
2022-12-13,2860
2022-12-14,2710
2022-12-15,2620
2022-12-16,3700
2022-12-17,3840
2022-12-18,2960
2022-12-19,2830
2022-12-20,2900
2022-12-21,2750
2022-12-22,2660
2022-12-23,3800
2022-12-24,4100
2022-12-25,4400
2022-12-26,3100
2022-12-27,2960
2022-12-28,3000
2022-12-29,3200
2022-12-30,3500
2022-12-31,3800
