date,sales
2022-01-01,19.3
2022-01-02,18.69
2022-01-04,20.41
2022-01-05,18.68
2022-01-07,26.24
2022-01-08,19.76
2022-01-09,18.55
2022-01-10,19.59
2022-01-11,18.61
2022-01-12,18.64
2022-01-13,25.07
2022-01-14,22.94
2022-01-15,17.46
2022-01-16,18.65
2022-01-17,18.23
2022-01-18,19.58
2022-01-19,18.39
2022-01-20,23.61
2022-01-21,26.52
2022-01-22,19.15
2022-01-23,19.47
2022-01-24,18.01
2022-01-25,18.91
2022-01-26,19.6
2022-01-27,24.06
2022-01-28,25.62
2022-01-29,18.97
2022-01-30,19.31
2022-01-31,19.02
2022-02-01,21.5
2022-02-02,19.67
2022-02-03,24.35
2022-02-04,26.26
2022-02-05,18.54
2022-02-06,20.0
2022-02-07,17.86
2022-02-08,18.52
2022-02-09,20.07
2022-02-10,26.34
2022-02-11,25.8
2022-02-12,19.84
2022-02-13,19.68
2022-02-15,19.32
2022-02-16,19.6
2022-02-17,26.85
2022-02-18,26.16
2022-02-19,18.38
2022-02-20,20.5
2022-02-21,19.82
2022-02-22,19.55
2022-02-23,20.87
2022-02-24,27.01
2022-02-25,26.94
2022-02-26,19.5
2022-02-27,20.06
2022-02-28,20.72
2022-03-01,21.4
2022-03-02,19.97
2022-03-03,25.99
2022-03-04,25.1
2022-03-05,19.33
2022-03-06,21.37
2022-03-07,21.94
2022-03-08,20.54
2022-03-09,21.64
2022-03-10,26.73
2022-03-11,25.75
2022-03-12,21.08
2022-03-13,22.29
2022-03-14,20.74
2022-03-15,22.37
2022-03-16,18.21
2022-03-17,27.38
2022-03-18,26.67
2022-03-19,20.62
2022-03-23,21.38
2022-03-24,28.23
2022-03-25,26.26
2022-03-26,20.3
2022-03-27,20.63
2022-03-28,22.08
2022-03-29,21.52
2022-03-30,20.69
2022-03-31,27.46
2022-04-01,27.07
2022-04-02,22.27
2022-04-03,20.63
2022-04-04,21.03
2022-04-05,20.99
2022-04-06,19.95
2022-04-07,27.43
2022-04-08,27.43
2022-04-09,21.5
2022-04-10,21.29
2022-04-11,20.13
2022-04-12,21.15
2022-04-13,21.26
2022-04-14,26.53
2022-04-15,27.2
2022-04-16,22.09
2022-04-17,23.6
2022-04-18,21.91
2022-04-19,22.02
2022-04-20,21.72
2022-04-21,25.6
2022-04-22,27.52
2022-04-23,21.94
2022-04-24,24.37
2022-04-25,21.74
2022-04-26,22.26
2022-04-27,21.95
2022-04-28,26.55
2022-04-29,28.88
2022-04-30,22.82
2022-05-01,22.89
2022-05-02,21.21
2022-05-03,23.55
2022-05-04,20.78
2022-05-05,28.49
2022-05-06,30.12
2022-05-07,21.27
2022-05-09,22.42
2022-05-10,21.84
2022-05-11,20.82
2022-05-12,28.17
2022-05-13,27.06
2022-05-14,22.93
2022-05-15,21.56
2022-05-16,24.06
2022-05-17,21.75
2022-05-18,22.24
2022-05-19,29.1
2022-05-20,27.09
2022-05-21,22.87
2022-05-22,23.98
2022-05-23,21.09
2022-05-24,22.91
2022-05-25,23.02
2022-05-26,29.27
2022-05-27,27.27
2022-05-28,21.52
2022-05-29,23.39
2022-05-30,23.19
2022-05-31,23.17
2022-06-01,23.29
2022-06-02,28.0
2022-06-03,28.94
2022-06-04,23.32
2022-06-05,22.34
2022-06-06,24.95
2022-06-07,23.59
2022-06-08,21.95
2022-06-09,29.52
2022-06-10,27.92
2022-06-11,24.01
2022-06-12,24.41
2022-06-13,22.46
2022-06-14,24.27
2022-06-15,23.75
2022-06-16,29.88
2022-06-17,30.98
2022-06-18,23.17
2022-06-19,22.69
2022-06-20,22.58
2022-06-21,22.68
2022-06-22,23.45
2022-06-23,29.59
2022-06-24,29.56
2022-06-25,24.43
2022-06-26,23.65
2022-06-27,25.12
2022-06-28,23.43
2022-06-29,26.44
2022-06-30,30.07
2022-07-01,28.62
2022-07-02,22.73
2022-07-03,24.31
2022-07-05,24.6
2022-07-06,24.38
2022-07-07,29.56
2022-07-08,28.82
2022-07-09,22.48
2022-07-10,23.57
2022-07-11,24.9
2022-07-12,24.29
2022-07-13,22.86
2022-07-14,30.0
2022-07-15,30.24
2022-07-16,23.3
2022-07-17,24.37
2022-07-18,24.3
2022-07-19,23.12
2022-07-20,24.65
2022-07-21,30.58
2022-07-22,31.13
2022-07-23,25.43
2022-07-24,23.03
2022-07-25,23.49
2022-07-26,24.97
2022-07-27,25.0
2022-07-28,30.73
2022-07-29,34.09
2022-07-30,25.14
2022-07-31,25.73
2022-08-01,25.58
2022-08-02,25.3
2022-08-03,24.36
2022-08-04,31.17
2022-08-05,29.66
2022-08-06,24.52
2022-08-07,24.3
2022-08-08,24.9
2022-08-09,27.16
2022-08-10,23.0
2022-08-11,31.29
2022-08-12,29.01
2022-08-13,24.48
2022-08-14,26.07
2022-08-15,25.07
2022-08-16,23.96
2022-08-17,24.35
2022-08-18,31.47
2022-08-19,30.09
2022-08-20,25.36
2022-08-21,25.22
2022-08-22,24.55
2022-08-23,27.37
2022-08-24,25.89
2022-08-25,28.96
2022-08-26,31.2
2022-08-27,24.68
2022-08-28,26.22
2022-08-29,24.6
2022-08-30,25.31
2022-08-31,25.95
2022-09-01,32.04
2022-09-02,30.0
2022-09-03,25.2
2022-09-04,25.08
2022-09-05,24.93
2022-09-06,27.38
2022-09-07,26.05
2022-09-08,30.11
2022-09-09,32.31
2022-09-14,27.1
2022-09-15,30.85
2022-09-16,32.03
2022-09-17,26.69
2022-09-18,25.02
2022-09-19,25.91
2022-09-20,22.76
2022-09-21,25.0
2022-09-22,31.5
2022-09-23,30.53
2022-09-24,27.74
2022-09-25,24.71
2022-09-26,25.72
2022-09-27,26.32
2022-09-28,27.66
2022-09-29,30.51
2022-09-30,33.14
2022-10-01,26.31
2022-10-02,25.35
2022-10-03,26.82
2022-10-04,26.58
2022-10-05,25.81
2022-10-06,32.21
2022-10-07,31.78
2022-10-08,26.61
2022-10-09,27.18
2022-10-10,28.13
2022-10-11,25.34
2022-10-12,28.74
2022-10-13,30.38
2022-10-14,32.21
2022-10-15,27.27
2022-10-16,26.99
2022-10-17,26.12
2022-10-18,26.56
2022-10-19,26.3
2022-10-20,31.93
2022-10-21,33.4
2022-10-22,27.23
2022-10-23,26.21
2022-10-24,27.83
2022-10-25,27.27
2022-10-26,27.8
2022-10-27,33.34
2022-10-28,31.91
2022-10-29,26.51
2022-10-30,27.84
2022-10-31,27.73
2022-11-01,27.13
2022-11-02,27.3
2022-11-03,34.18
2022-11-04,32.34
2022-11-05,27.81
2022-11-06,27.09
2022-11-07,27.1
2022-11-08,28.44
2022-11-09,28.2
2022-11-10,33.91
2022-11-11,34.43
2022-11-12,27.47
2022-11-13,28.16
2022-11-14,27.2
2022-11-15,27.86
